,district,date,drought
0,KWANIA,2003-01,False
1,KWANIA,2003-02,False
2,KWANIA,2003-03,False
3,KWANIA,2003-04,False
4,KWANIA,2003-05,False
5,KWANIA,2003-06,False
6,KWANIA,2003-07,False
7,KWANIA,2003-08,False
8,KWANIA,2003-09,False
9,KWANIA,2003-10,False
10,KWANIA,2003-11,False
11,KWANIA,2003-12,False
12,KWANIA,2004-01,False
13,KWANIA,2004-02,False
14,KWANIA,2004-03,False
15,KWANIA,2004-04,False
16,KWANIA,2004-05,False
17,KWANIA,2004-06,False
18,KWANIA,2004-07,False
19,KWANIA,2004-08,False
20,KWANIA,2004-09,False
21,KWANIA,2004-10,False
22,KWANIA,2004-11,False
23,KWANIA,2004-12,False
24,KWANIA,2005-01,False
25,KWANIA,2005-02,False
26,KWANIA,2005-03,False
27,KWANIA,2005-04,False
28,KWANIA,2005-05,False
29,KWANIA,2005-06,False
30,KWANIA,2005-07,False
31,KWANIA,2005-08,False
32,KWANIA,2005-09,False
33,KWANIA,2005-10,False
34,KWANIA,2005-11,False
35,KWANIA,2005-12,False
36,KWANIA,2006-01,False
37,KWANIA,2006-02,False
38,KWANIA,2006-03,False
39,KWANIA,2006-04,False
40,KWANIA,2006-05,False
41,KWANIA,2006-06,False
42,KWANIA,2006-07,False
43,KWANIA,2006-08,False
44,KWANIA,2006-09,False
45,KWANIA,2006-10,False
46,KWANIA,2006-11,False
47,KWANIA,2006-12,False
48,KWANIA,2007-01,False
49,KWANIA,2007-02,False
50,KWANIA,2007-03,False
51,KWANIA,2007-04,False
52,KWANIA,2007-05,False
53,KWANIA,2007-06,False
54,KWANIA,2007-07,False
55,KWANIA,2007-08,False
56,KWANIA,2007-09,False
57,KWANIA,2007-10,False
58,KWANIA,2007-11,False
59,KWANIA,2007-12,False
60,KWANIA,2008-01,False
61,KWANIA,2008-02,False
62,KWANIA,2008-03,False
63,KWANIA,2008-04,False
64,KWANIA,2008-05,False
65,KWANIA,2008-06,False
66,KWANIA,2008-07,False
67,KWANIA,2008-08,False
68,KWANIA,2008-09,False
69,KWANIA,2008-10,False
70,KWANIA,2008-11,False
71,KWANIA,2008-12,False
72,KWANIA,2009-01,False
73,KWANIA,2009-02,False
74,KWANIA,2009-03,False
75,KWANIA,2009-04,False
76,KWANIA,2009-05,False
77,KWANIA,2009-06,False
78,KWANIA,2009-07,False
79,KWANIA,2009-08,False
80,KWANIA,2009-09,False
81,KWANIA,2009-10,False
82,KWANIA,2009-11,False
83,KWANIA,2009-12,False
84,KWANIA,2010-01,False
85,KWANIA,2010-02,False
86,KWANIA,2010-03,False
87,KWANIA,2010-04,False
88,KWANIA,2010-05,False
89,KWANIA,2010-06,False
90,KWANIA,2010-07,False
91,KWANIA,2010-08,False
92,KWANIA,2010-09,False
93,KWANIA,2010-10,False
94,KWANIA,2010-11,False
95,KWANIA,2010-12,False
96,KWANIA,2011-01,False
97,KWANIA,2011-02,False
98,KWANIA,2011-03,False
99,KWANIA,2011-04,False
100,KWANIA,2011-05,False
101,KWANIA,2011-06,False
102,KWANIA,2011-07,False
103,KWANIA,2011-08,False
104,KWANIA,2011-09,False
105,KWANIA,2011-10,False
106,KWANIA,2011-11,False
107,KWANIA,2011-12,False
108,KWANIA,2012-01,False
109,KWANIA,2012-02,False
110,KWANIA,2012-03,False
111,KWANIA,2012-04,False
112,KWANIA,2012-05,False
113,KWANIA,2012-06,False
114,KWANIA,2012-07,False
115,KWANIA,2012-08,False
116,KWANIA,2012-09,False
117,KWANIA,2012-10,False
118,KWANIA,2012-11,False
119,KWANIA,2012-12,False
120,KWANIA,2013-01,False
121,KWANIA,2013-02,False
122,KWANIA,2013-03,False
123,KWANIA,2013-04,False
124,KWANIA,2013-05,False
125,KWANIA,2013-06,False
126,KWANIA,2013-07,False
127,KWANIA,2013-08,False
128,KWANIA,2013-09,False
129,KWANIA,2013-10,False
130,KWANIA,2013-11,False
131,KWANIA,2013-12,False
132,KWANIA,2014-01,False
133,KWANIA,2014-02,False
134,KWANIA,2014-03,False
135,KWANIA,2014-04,False
136,KWANIA,2014-05,False
137,KWANIA,2014-06,False
138,KWANIA,2014-07,False
139,KWANIA,2014-08,False
140,KWANIA,2014-09,False
141,KWANIA,2014-10,False
142,KWANIA,2014-11,False
143,KWANIA,2014-12,False
144,KWANIA,2015-01,False
