districts,lon,lat
ABIM,33.7254449,2.7491907
ADJUMANI,31.7866194,3.2381703
AGAGO,33.3864527,2.9482646
ALEBTONG,33.321173,2.2694173
AMOLATAR,32.7859145,1.6390368
AMUDAT,34.929248,1.8276056
AMURIA,33.6207286,2.0691848
AMURU,32.1035927,3.1306296
APAC,32.6476753,1.9175209
ARUA,31.1259406,2.9502059
BUDAKA,34.0045631,1.0674012
BUDUDA,34.3899674,1.0292408
BUGIRI,33.7721442,0.5206496
BUHWEJU,30.3372121,-0.3203837
BUIKWE,33.0380148,0.304395
BUKEDEA,34.1413611,1.3721319
BUKOMANSIMBI,31.6230049,-0.1257519
BUKWO,34.6972584,1.272328
BULAMBULI,34.2777639,1.3511466
BULIISA,31.3750685,1.9832297
BUNDIBUGYO,30.0416359,0.6507783
BUNYANGABU,30.2011031,0.4825725
BUSHENYI,30.1684206,-0.4821465
BUSIA,34.0151534,0.3939729
BUTALEJA,33.8827055,0.8667014
BUTAMBALA,32.1353136,0.1644038
BUTEBO,34.0457905,1.1875095
BUVUMA,33.1978054,-0.353278
BUYENDE,33.1704384,1.2356347
DOKOLO,33.0750766,1.9103051
GOMBA,31.7367249,0.2054529
GULU,32.3801798,3.0350124
HOIMA,31.1353796,1.4662653
IBANDA,30.4923342,-0.0598906
IGANGA,33.5522284,0.6782799
ISINGIRO,30.9321356,-0.836644
JINJA,33.2279588,0.5466143
KAABONG,34.0139851,3.66232
KABALE,30.0368305,-1.3330755
KABAROLE,30.2671809,0.6242202
KABERAMAIDO,33.2531417,1.7599576
KAGADI,30.8317754,1.0237442
KAKUMIRO,31.2903921,0.9635189
KALANGALA,32.374833,-0.5759166
KALIRO,33.4814442,1.0826673
KALUNGU,31.813908,-0.0970049
KAMPALA,32.5862139,0.3128705
KAMULI,33.1250247,0.9423729
KAMWENGE,30.4594176,0.1983037
KANUNGU,29.71345,-0.705138
KAPCHORWA,34.3986679,1.3311739
KASESE,30.0077219,0.138429
KATAKWI,34.0574226,1.9735105
KAYUNGA,32.8593242,0.9922273
KIBAALE,31.0256414,0.823932
KIBOGA,31.928635,0.8577042
KIBUKU,33.8046573,1.05855
KIRUHURA,30.8439915,-0.2493151
KIRYANDONGO,32.0498346,1.9937638
KISORO,29.6694611,-1.1960534
KITGUM,33.3170168,3.4207768
KOBOKO,30.9838278,3.5367646
KOLE,32.7356493,2.3017476
KOTIDO,34.0338342,2.9932148
KUMI,33.9218965,1.4566745
KWEEN,34.5600389,1.3534776
KYANKWANZI,31.6814091,1.0934749
KYEGEGWA,31.0006762,0.4832306
KYENJOJO,30.6584672,0.6456453
KYOTARA,31.580444,-0.6277456
LAMWO,32.6902523,3.5241267
LIRA,32.9497302,2.3353862
LUUKA,33.3268905,0.8203647
LUWERO,32.602207,0.8484966
LWENGO,31.3991111,-0.4442491
LYANTONDE,31.1836696,-0.2596223
MANAFWA,34.2704737,0.8916811
MARACHA,30.9246357,3.24635
MASAKA,31.8317968,-0.4834775
MASINDI,31.7374896,1.8149844
MAYUGE,33.5896311,-0.189966
MBALE,34.1971963,1.0046505
MBARARA,30.6259715,-0.5370383
MITOOMA,29.9856555,-0.5543426
MITYANA,32.0768621,0.4560539
MOROTO,34.6396764,2.6163537
MOYO,31.640702,3.4893745
MPIGI,32.2535447,0.1288877
MUBENDE,31.5659976,0.5162159
MUKONO,32.7194135,-0.0692571
NAKAPIRIPIRIT,34.6299532,1.9953152
NAKASEKE,32.1758933,1.0030174
NAKASONGOLA,32.4900734,1.3185855
NAMAYINGO,33.8141269,-0.2538013
NAMISINDWA,34.382329,0.870646
NAMUTUMBA,33.6656478,0.8896683
NAPAK,34.2598998,2.3984338
NEBBI,31.1625981,2.4380904
NGORA,33.7729202,1.499022
NTOROKO,30.3865086,0.9927835
NTUNGAMO,30.3033237,-0.9536649
NWOYA,31.858294,2.528199
OMORO,32.4967578,2.6458329
OTUKE,33.3819067,2.4791459
OYAM,32.4233576,2.3490492
PADER,32.9122585,2.8896381
PAKWACH,31.3941634,2.4676004
PALLISA,33.6233463,1.2201691
RAKAI,31.3716758,-0.725987
RUBANDA,29.9006179,-1.1722425
RUBIRIZI,29.9506652,-0.2592166
RUKIGA,30.0551326,-1.1441751
RUKUNGIRI,29.8906392,-0.6962417
SERERE,33.357535,1.4941939
SHEEMA,30.3720114,-0.5919577
SIRONKO,34.2910956,1.1908434
SOROTI,33.6060642,1.790795
SSEMBABULE,31.3734279,-0.052552
TORORO,34.1021976,0.7416171
WAKISO,32.5130352,0.2183189
YUMBE,31.3380203,3.4932707
ZOMBO,30.8906731,2.523404
KWANIA,32.7633,1.9033
NABILATUK,34.5656,2.0544
KABONG,33.975,3.5126
KYOTERA,31.5456,0.6359
KAPELEBYONG,33.8607,2.297
KASSANDA,31.7195,0.5761
KIKUUBE,32.327778,0.62
BUGWERI,33.5952,0.6433
