DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.23053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.49014,-0.20924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,-0.05335,-0.30836,-0.13988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.89018,0.50255,0.23117,0.21379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,1.48748,1.50725,0.96725,0.64375,0.5655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.23297,1.1591,1.42465,0.96278,0.63535,0.55415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,0.86991,0.69826,1.28124,1.4951,1.10452,0.7824,0.68993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,1.48527,1.3953,1.24712,1.91699,2.05996,1.52759,1.13275,1.00117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.72418,1.42508,1.44016,1.32091,1.84346,2.0738,1.59786,1.25789,1.12827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.25393,0.24756,0.84315,1.01161,0.95006,1.31666,1.51129,1.24992,1.02928,0.94655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-1.57784,-1.26374,-0.91018,-0.32169,-0.06066,-0.01427,0.40478,0.6095,0.53572,0.38118,0.33823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-0.64967,-1.50116,-1.32841,-1.04974,-0.55492,-0.35273,-0.3083,0.07229,0.30888,0.29695,0.17635,0.15883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,0.02575,-0.51729,-1.33565,-1.31187,-1.01339,-0.57732,-0.3877,-0.34759,-0.00343,0.24407,0.23979,0.11957,0.10614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,1.14207,0.65835,0.04143,-0.78298,-0.82118,-0.60536,-0.23144,-0.08739,-0.07637,0.20667,0.4154,0.40973,0.29269,0.26629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,1.17089,1.36111,1.02936,0.4831,-0.2515,-0.30458,-0.14473,0.1441,0.25523,0.23845,0.46762,0.63265,0.61383,0.49278,0.45938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,1.20049,1.38938,1.46978,1.19415,0.77991,0.11371,0.0756,0.18942,0.41491,0.50726,0.48765,0.67456,0.79735,0.76017,0.64633,0.61155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,0.88895,1.41354,1.56969,1.6331,1.34873,0.94265,0.28667,0.2441,0.33125,0.54405,0.63452,0.61493,0.79746,0.90775,0.85622,0.74045,0.70393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,0.92399,1.14854,1.66929,1.80577,1.80808,1.51193,1.07813,0.39719,0.34342,0.43301,0.63634,0.716,0.69266,0.8762,0.97923,0.9249,0.80903,0.77047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,0.03797,0.5879,0.82939,1.34829,1.60359,1.68848,1.46016,1.04714,0.35279,0.30045,0.39136,0.60367,0.6868,0.66375,0.86212,0.96359,0.90279,0.78352,0.74522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,0.66188,0.41369,0.69829,0.99655,1.48403,1.74599,1.80879,1.5424,1.12557,0.45058,0.38976,0.48212,0.68199,0.76332,0.73691,0.93374,1.02824,0.96182,0.84117,0.80101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,0.75632,0.95013,0.71235,0.93477,1.17225,1.608,1.79442,1.89151,1.65266,1.24185,0.54635,0.47426,0.57092,0.76308,0.84252,0.81576,1.02366,1.12398,1.05399,0.92959,0.88822,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,1.02176,1.16612,1.22268,1.06603,1.18606,1.35659,1.68299,1.7782,1.87329,1.73144,1.39656,0.74876,0.6611,0.74785,0.91358,0.98812,0.96378,1.17314,1.25849,1.17583,1.05008,1.00259,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,1.20668,1.33696,1.50574,1.55435,1.5047,1.5518,1.70375,1.95943,2.07227,2.11749,2.00189,1.68553,1.09032,0.97467,1.05593,1.19494,1.26936,1.24595,1.46959,1.51947,1.40936,1.28065,1.21913,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,1.9698,1.82499,1.88112,2.02032,2.08258,2.07632,2.15091,2.36466,2.64825,2.63194,2.64279,2.56994,2.31491,1.81993,1.63058,1.69923,1.78368,1.85832,1.85971,2.08317,2.11647,1.93888,1.8164,1.72244,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,-0.52802,1.6947,1.67578,1.75084,1.88842,1.91736,1.90217,1.95709,2.16942,2.35171,2.38144,2.42224,2.32303,2.1081,1.63748,1.47751,1.55072,1.6485,1.71292,1.70471,1.88701,1.94213,1.79723,1.68021,1.59643,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,0.61551,-0.02998,1.65309,1.65965,1.71639,1.83343,1.85535,1.84522,1.8942,2.07491,2.22072,2.25046,2.29647,2.23469,2.05548,1.61713,1.47282,1.54434,1.62819,1.69017,1.67417,1.85334,1.91908,1.7857,1.66992,1.59157,,,,,,,,,,,,,,,,,,,,,,
Mar1952,0.06483,0.33338,0.03756,1.43731,1.54323,1.6027,1.68333,1.70752,1.6837,1.743,1.88241,2.03229,2.08296,2.12955,2.08357,1.87722,1.45527,1.34957,1.42643,1.51461,1.57063,1.55223,1.70684,1.77454,1.67094,1.55908,1.50166,,,,,,,,,,,,,,,,,,,,,
Apr1952,0.2954,0.20978,0.35103,0.10061,1.34863,1.50275,1.54555,1.62182,1.6298,1.59932,1.64787,1.76446,1.8992,1.98815,2.04209,1.97957,1.79005,1.3921,1.29403,1.36497,1.45355,1.50791,1.48577,1.63931,1.70676,1.61648,1.50868,1.45616,,,,,,,,,,,,,,,,,,,,
May1952,-0.44722,-0.0802,-0.06293,0.09899,-0.08126,1.15499,1.37832,1.44178,1.54021,1.55494,1.52233,1.58015,1.69672,1.84722,1.95263,2.02636,1.95175,1.74675,1.32483,1.22481,1.29747,1.39086,1.44437,1.4232,1.58094,1.65148,1.56348,1.45341,1.40546,,,,,,,,,,,,,,,,,,,
Jun1952,-0.53701,-0.60379,-0.29438,-0.22612,-0.05684,-0.21528,1.02253,1.28775,1.36003,1.46268,1.47659,1.44326,1.50144,1.61757,1.76531,1.8826,1.96369,1.87685,1.68175,1.2592,1.15845,1.22974,1.32553,1.38025,1.35821,1.51883,1.58812,1.50407,1.39274,1.34608,,,,,,,,,,,,,,,,,,
Jul1952,-0.08158,-0.43966,-0.59795,-0.31734,-0.25549,-0.10436,-0.26518,0.96648,1.24555,1.33361,1.44804,1.46465,1.43923,1.50389,1.63067,1.7748,1.89918,1.9821,1.88339,1.67611,1.23448,1.13139,1.20058,1.29664,1.35324,1.32946,1.49227,1.56336,1.48501,1.37186,1.32601,,,,,,,,,,,,,,,,,
Aug1952,1.78746,1.10921,0.61132,0.12409,0.21989,0.20336,0.3076,0.09849,1.30375,1.51503,1.55219,1.6641,1.66368,1.64702,1.70935,1.85988,2.00364,2.10559,2.18377,2.06952,1.85326,1.42051,1.30542,1.36955,1.45332,1.50506,1.48245,1.65263,1.72372,1.63673,1.52124,1.46907,,,,,,,,,,,,,,,,
Sep1952,-0.38742,0.96745,0.67697,0.35807,-0.00169,0.09735,0.10704,0.20364,0.01559,1.17262,1.41538,1.47475,1.58515,1.59322,1.58425,1.64537,1.80799,1.97103,2.08427,2.17117,2.04929,1.83541,1.37229,1.26071,1.32841,1.41714,1.46796,1.44519,1.60808,1.68358,1.59618,1.48335,1.42872,,,,,,,,,,,,,,,
Oct1952,-0.75779,-0.78728,0.20286,0.12226,-0.06107,-0.24469,-0.13868,-0.08071,0.02337,-0.13546,0.9019,1.16853,1.26742,1.36202,1.37945,1.36308,1.42639,1.58149,1.72325,1.83133,1.9078,1.78905,1.61396,1.19032,1.10179,1.16742,1.26205,1.31324,1.29417,1.44268,1.5099,1.43539,1.33015,1.28145,,,,,,,,,,,,,,
